model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4o-mini,normal,clogging_fault,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.410892099807305,3.447604114189744,48.29429809935391,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,562,22651,764,54839,1326,56165
gpt-4o-mini,normal,clogging_fault,8,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.9402935000834987,2.780815100064501,46.008169000037014,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,37007,682,25886,909,62893,1591,64484
gpt-4o-mini,normal,clogging_fault,9,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,3.1544139873003587,4.171621344362696,63.146139699965715,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,37007,659,29224,1081,66231,1740,67971
gpt-4o-mini,normal,sensor_fault,0,1,1,1,1,1,1.0,0,1,normal,0.5833333333333334,7,12,0,1.0,120,120,0,5,0,8,12,12,3.002032508297513,3.274533975093315,75.8035784997046,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.7142857142857142,56205,842,38748,1361,94953,2203,97156
gpt-4o-mini,normal,sensor_fault,1,0,0,0,0,0,0.2857142857142857,5,1,normal,0.25,2,8,0,1.0,80,80,0,5,0,3,8,8,5.044247425044887,3.0104450752260163,64.68393790069968,state_filling_tank_B202,reprompt_limit,0.2,3,0.42857142857142855,0.6666666666666666,1.0,2.6666666666666665,37837,544,25832,987,63669,1531,65200
gpt-4o-mini,normal,sensor_fault,2,1,1,1,1,1,1.0,0,1,normal,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,1.7045422249939293,2.6058066877303645,34.77246550004929,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36953,579,25832,835,62785,1414,64199
gpt-4o-mini,normal,sensor_fault,3,0,0,0,0,0,0.2857142857142857,5,1,normal,0.25,2,8,0,1.0,80,80,0,5,0,3,8,8,2.1116925248643383,2.7768697248538956,39.33167210035026,state_filling_tank_B202,reprompt_limit,0.2,3,0.42857142857142855,0.6666666666666666,1.0,2.6666666666666665,37837,557,25832,886,63669,1443,65112
gpt-4o-mini,normal,sensor_fault,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.7263618144871933,2.658034085961325,30.97713760007173,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,512,22603,718,54743,1230,55973
gpt-4o-mini,normal,sensor_fault,5,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.8401641716648425,2.972583599920784,33.95069419965148,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,507,22603,740,54743,1247,55990
gpt-4o-mini,normal,sensor_fault,6,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.7805151286135827,2.421678542558636,29.69622279983014,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,525,22603,735,54743,1260,56003
