model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,clogging_fault,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.523821557206767,2.1354799856032645,32.87106620054692,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,946,22007,839,54195,1785,55980
gpt-4.1-mini,normal,clogging_fault,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.279010586041425,2.0256633715970174,30.4880606001243,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,931,22007,842,54195,1773,55968
gpt-4.1-mini,normal,sensor_fault,0,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.201590728679938,2.265846814428057,31.574536399915814,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,830,21959,813,54099,1643,55742
gpt-4.1-mini,normal,sensor_fault,1,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.410057599922376,1.9785874714808804,31.03522709943354,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,812,21959,797,54099,1609,55708
gpt-4.1-mini,normal,sensor_fault,2,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9473838713020086,1.9888463712164335,27.89780609961599,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,848,21959,790,54099,1638,55737
gpt-4.1-mini,normal,sensor_fault,3,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.989267428538629,2.2231761287631735,29.789297100156546,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,799,21959,799,54099,1598,55697
gpt-4.1-mini,normal,sensor_fault,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1395976427676424,1.8691614143816488,28.380133000202477,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,832,21959,797,54099,1629,55728
gpt-4.1-mini,normal,sensor_fault,5,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.247981885581144,2.1610335570627024,31.14690660033375,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,848,21959,799,54099,1647,55746
gpt-4.1-mini,normal,sensor_fault,6,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1362940428246344,2.1055703426578214,31.56282850075513,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,836,21959,791,54099,1627,55726
gpt-4.1-mini,normal,sensor_fault,7,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.5260535714083483,1.9856283427881343,31.997757100500166,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,830,21959,806,54099,1636,55735
gpt-4.1-mini,normal,sensor_fault,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.251273000213717,1.9802466142656547,30.007829199545085,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,805,21959,806,54099,1611,55710
gpt-4.1-mini,normal,sensor_fault,9,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4743121714730347,2.3088637001014183,33.99313130043447,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,797,21959,798,54099,1595,55694
gpt-4.1-mini,normal,leak,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.8678974571770857,2.025434671368982,34.648169700056314,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,937,22000,838,54181,1775,55956
gpt-4.1-mini,normal,leak,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3497768428974917,2.187426428576665,32.07526690047234,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,920,22000,838,54181,1758,55939
gpt-4.1-mini,normal,leak,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.480857014523021,2.6028856857280647,35.957630700431764,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,909,22000,824,54181,1733,55914
gpt-4.1-mini,normal,leak,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4799975430858985,2.175022542875792,32.98561550024897,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,894,22000,829,54181,1723,55904
gpt-4.1-mini,normal,leak,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3622529428186163,2.4954213853925467,34.35740149952471,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,919,22000,820,54181,1739,55920
gpt-4.1-mini,normal,leak,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2454678574576974,2.063835700042546,30.516498400829732,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,943,22000,870,54181,1813,55994
gpt-4.1-mini,normal,leak,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1982138428304876,1.9342565859801002,29.266711399890482,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,921,22000,836,54181,1757,55938
gpt-4.1-mini,normal,leak,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0872403287461827,2.3187300001404116,31.21499259956181,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,936,22000,855,54181,1791,55972
gpt-4.1-mini,normal,leak,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.046094042648162,2.0070661001705696,28.787402300164104,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,903,22000,844,54181,1747,55928
