model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,sensor_fault,3,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.101402857141303,2.442335271417895,32.600410200015176,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,748,22113,963,54085,1711,55796
gpt-4.1-mini,normal,sensor_fault,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1141157999934097,2.664581371429709,34.05221709999023,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,759,22113,948,54085,1707,55792
gpt-4.1-mini,normal,sensor_fault,5,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.513057642857478,2.806762999988028,37.789526299980935,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,770,22113,920,54085,1690,55775
gpt-4.1-mini,normal,sensor_fault,6,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.5228750999917144,2.3375161714336303,34.5415591999772,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,815,22113,941,54085,1756,55841
gpt-4.1-mini,normal,sensor_fault,7,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2156643428440606,2.8072181857091243,35.717725299997255,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,800,22113,955,54085,1755,55840
gpt-4.1-mini,normal,sensor_fault,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4531130285800566,2.860437657143588,37.880656599998474,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,844,22113,915,54085,1759,55844
gpt-4.1-mini,normal,sensor_fault,9,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9873956428657817,2.6715121857206605,33.26863080001203,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,764,22113,947,54085,1711,55796
gpt-4.1-mini,normal,leak,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.155625342848777,2.4660505857235484,33.337500100024045,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,895,22154,971,54167,1866,56033
gpt-4.1-mini,normal,leak,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.116765571425536,2.7593539857272327,34.660007199971005,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,857,22154,979,54167,1836,56003
gpt-4.1-mini,normal,leak,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.567475757120909,2.4242828571337407,35.54840339999646,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,900,22154,1003,54167,1903,56070
gpt-4.1-mini,normal,leak,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.106520985710501,2.389638928580098,32.882759500003885,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,917,22154,1050,54167,1967,56134
gpt-4.1-mini,normal,leak,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.103378371443666,2.3217719142890667,31.625351800001226,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,879,22154,1016,54167,1895,56062
gpt-4.1-mini,normal,leak,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.090583642836594,2.5998832714145204,33.41205639997497,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,888,22154,1019,54167,1907,56074
gpt-4.1-mini,normal,leak,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.5042278571636416,2.51459492856936,35.831851300026756,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,943,22154,987,54167,1930,56097
gpt-4.1-mini,normal,leak,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.8533297000020474,3.1203402428488647,42.51339999999618,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,917,22154,977,54167,1894,56061
gpt-4.1-mini,normal,leak,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.166090271435678,2.468283428586022,33.2913591999677,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,904,22154,979,54167,1883,56050
gpt-4.1-mini,normal,leak,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.403189242850723,2.380755142857587,34.26105660002213,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32013,923,22154,916,54167,1839,56006
gpt-4.1-mini,normal,normal,0,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.005940628554007,2.4721509142878597,31.947969499975443,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,674,22106,921,54071,1595,55666
gpt-4.1-mini,normal,normal,1,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.316524671423914,2.2789951571280005,32.77626180002699,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,729,22106,903,54071,1632,55703
gpt-4.1-mini,normal,normal,2,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.8406206000197147,2.4234781714289317,32.57197960000485,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,721,22106,898,54071,1619,55690
gpt-4.1-mini,normal,normal,3,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.219525328571243,2.089469685709836,30.968802300048992,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,721,22106,897,54071,1618,55689
gpt-4.1-mini,normal,normal,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3983363857093667,2.480055014303486,34.63772399997106,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,696,22106,887,54071,1583,55654
gpt-4.1-mini,normal,normal,5,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0561203999927136,2.279391214293095,30.829691699997056,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,745,22106,901,54071,1646,55717
gpt-4.1-mini,normal,normal,6,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9201388428669557,2.3914147285727916,30.83521450002445,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,688,22106,897,54071,1585,55656
gpt-4.1-mini,normal,normal,7,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0741819000021287,2.1739165285751887,30.3156042000046,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,698,22106,873,54071,1571,55642
gpt-4.1-mini,normal,normal,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.973186342860572,2.4831862000116547,31.800084899994545,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,695,22106,890,54071,1585,55656
gpt-4.1-mini,normal,normal,9,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0189972714454467,2.9807446142908054,35.87869739998132,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31965,695,22106,899,54071,1594,55665
